airline_code,airline_name,website,airline_name_zh
KQ,Kenya Airways,http://www.kenya-airways.com/,肯亞航空
KR,Air Bishkek,https://www.cambodia-airways.com/,柬埔寨航空 (2017年)
KS,Penair,https://air-connect.com/,佩奈爾
KT,Fly Kiss,https://www.airasia.com/,伯根航空
KU,Kuwait Airways,http://www.kuwaitairways.com,科威特航空
KV,Sky Regional Airlines,http://www.asian-express-airline.com/,斯凱區域航空
KW,Kharkiv Airlines,http://www.kfaero.ca/cargo-operations/,斯坦航空
KX,Cayman Airways,http://www.caymanairways.com,開曼航空
KY,Kunming Airlines,http://airsaotomeprincipe.com,昆明航空
KZ,Nippon Cargo Airlines,http://www.nca.aero,艾夫航空
L3,Lynx Aviation,http://www.ltu.at/,林克斯航空
L4,Air Service Liege (ASL),https://landlineco.com,艾爾服務利埃日艾艾艾
L5,Atlantique Air Assistance,https://redair.com.do/,雷德航空
L6,Mauritanian Airlines Int,https://www.mauritaniaairlines.mr,茅利塔尼亞國際航空
L7,Lugansk Airlines,http://www.avia.lg.ua/,哥倫比亞南美貨運航空
L8,Afric Aviation,http://www.africaviation.com/,阿弗裡克航空
LA,LATAM Chile,http://www.latam.com,智利南美航空
LB,Air Costa,https://www.bulair.bg/,艾爾科斯塔
LC,ECAir,http://www.flyecair.com/index.php?id=4,伊西艾爾
LE,Norwegian Air Sweden AB,http://www.avia.lg.ua/,諾爾韋艾爾斯威登艾比
LF,Contour Airlines,https://www.contourairlines.com/,寮國中央航空
LG,Luxair,http://www.luxair.lu/,盧森堡航空
LH,Lufthansa Cargo,https://lufthansa-cargo.com,漢莎航空
LI,LIAT,https://www.etfairways.com/,利亞特
LJ,Jin Air,http://www.jinair.com/,真航空
LK,Lao Skyway,http://www.airluxor.com,勞斯凱韋
LL,Miami Air International,http://www.flylevel.com,水平航空
LM,Loganair,http://www.airalm.com,洛根航空
LN,Libyan Airlines,http://www.libyanairlines.aero,利比亞航空
LO,LOT Polish Airlines,https://www.lot.com,LOT波蘭航空
LP,LATAM Perú,http://www.airalpes.com,秘魯南美航空
LQ,Lanmei Airlines,http://www.lanmeiairlines.com/,幾內亞航空貨運
LR,Avianca Costa Rica,http://www.avianca.com/en-cr/,哥斯大黎加哥倫比亞航空
LS,Jet2.com,https://www.jet2.com/,Jet2航空
LT,Longjiang Airlines,https://www.longjianghk.com/,龍江航空
LU,LAN Express,http://italia.lufthansa.com,南美快運航空
LV,Level,http://www.megamaldivesair.com,美佳航空
LW,Pacific Wings,https://www.lauda-europe.com/,拉丁美洲之翼航空
LX,Swiss International Air Lines,http://www.swiss-private-aviation.com/,瑞士國際航空
LY,El Al,http://www.flymelilla.es/,向上航空
LZ,Swiss Global Air Lines,http://www.belleair.it,瑞士環球航空
M0,Aero Mongolia,http://www.aeromongolia.mn,蒙古航空
M2,MHS Aviation,https://flyrna.com/,MHS航空
M3,Air Norway,http://www.northflying.com,巴西南美貨運航空
M4,Mistral Air,http://www.nayzak.ly/,郵政航空貨運
M5,Kenmore Air,https://www.kenmoreair.com/,肯莫爾航空
M6,Amerijet International,https://www.amerijet.com/,美美瑞捷國際
M8,SKYJET Airlines,http://www.transnusa.co.id/eng/index.html,翎亞航空
M9,Motor Sich Jsc,http://flymotorsich.com,摩托西奇股份有限公司
MB,Mng Airlines Cargo,http://www.mngairlines.com,Mng Airlines Cargo
MC,Air Mobility Command,http://www.museair.com,Air Mobility Command
MD,Air Madagascar,http://www.mainlandair.com/,馬達加斯加航空
ME,Middle East Airlines,https://www.mea.com.lb/,中東航空
MF,XiamenAir,https://cargo.xiamenair.com/Cargo/index.htm,商舟航空物流
MG,Miami Air Lease,http://www.championair.com/,冠軍航空
MH,Malaysia Airlines,http://www.maskargo.com,馬來西亞航空貨運
MI,SilkAir,https://www.freebirdairlines.com/,勝安航空
MJ,Mihin Lanka,https://mywayairlines.com/,米欣蘭卡航空
MK,Air Mauritius,http://www.airmauritius.com,毛裡裘斯航空
ML,Sky Mali,http://195.167.49.231/olav/auxfiles/olavhomeUK.aspx?AspxAutoDetectCookieSupport=1,中途航空 (1976年)
MM,Peach Aviation,https://www.maltamedair.com/,樂桃航空
MN,Comair,http://www.comair.co.za,庫魯拉航空
MO,Calm Air International,https://www.calmair.com/,Calm Air International
MP,Martinair,http://www.martinair.com/,馬丁航空
MQ,Envoy Air,https://www.envoyair.com/,特使航空
MR,Hunnu Air,https://www.hunnuair.com/,匈奴航空
MS,EgyptAir,http://www.egyptair-cargo.com,埃及航空
MT,Thomas Cook Airlines,http://www.thomascookairlines.com,託馬斯·庫克航空
MU,China Eastern Airlines,http://global.ceair.com,一二三航空
MV,Air Mediterranean,http://www.air-mediterranean.com/,航星航空
MW,Mokulele Airlines,http://www.mokuleleairlines.com/,Mokulele Airlines
MX,Breeze Airways,https://www.flybreeze.com/,墨西哥航空 (1921年)
